subject,#training_data,,
MA211,854,,
CS102,772,,
CS101,758,,
TU154,756,,
TH161,719,,
CS111,667,,
CS213,612,,
EL171,608,,
SC135,592,,
PY228,564,,
EL172,557,,
SC185,548,,
TU110,532,,
CS223,531,,
TU120,518,,
ST216,498,,
CS284,492,,
EL295,470,,
TU130,453,,
MA212,431,,
CS314,407,,
MA332,407,,
CS222,392,,
CS214,390,,
CS261,384,,
CS251,376,,
CS281,376,,
CS341,354,,
EL395,353,,
CS301,336,,
CS311,274,,
CS374,271,,
CS302,270,,
CS401,266,,
CS342,265,,
CS105,238,,
HO201,205,,
CS395,204,,
CS402,198,,
CS365,189,,
EL070,183,,
AT326,176,,
TU100,168,,
CS289,145,,
CS385,144,,
AT316,113,,
CS288,112,,
CS326,112,,
TU122,112,,
CS487,110,,
CS211,105,,
CS489,101,,
SC123,100,,
SC173,96,,
CS296,91,,
CS488,87,,
SW111,83,,
CS367,77,,
SW365,72,,
CS486,67,,
SW212,65,,
CS215,64,,
CS409,64,,
SW221,64,,
CS386,63,,
CS366,57,,
CS295,56,,
CS377,55,,
LA209,55,,
CS456,54,,
CS467,53,,
CS300,51,,
SW478,51,,
SW213,50,,
BA291,46,,
MW314,46,,
SW475,45,,
CS396,44,,
CS427,44,,
ES356,44,,
CS387,43,,
CS286,42,,
CS297,42,,
CS429,40,,
CS446,40,,
SW335,40,,
CS356,39,,
HR201,39,,
CS459,38,,
NS132,35,,
SO201,35,,
TA395,33,,
CJ321,32,,
CS397,32,,
CS398,32,,
CS348,30,,
CJ317,29,,
CJ316,28,,
CS407,28,,
MA216,28,,
MW313,28,,
CS115,27,,
CS457,25,,
CS388,24,,
CS426,24,,
CS449,24,,
CS408,21,,
CJ315,20,,
CS285,19,,
CS399,19,,
